previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
there is a medium sun diagonal from him towards the center . its side is covered by a large tree that 's in the center of the picture	ok , what kind of tree	it has a hole in the trunk of it	1	
---	okay , what now	---	0	
there is an small apple tree centered against the right side . there is a large helicopter parked right next to it on the left side	what size ? on the grass ?	bottom half on the grass top half in the sky . it is small	1	
yes , both are looking right then bear is just a little bit away from boys outstretched foot open mouth of bear at horizon	are the kids and bear small ?	bear is looking left gray cloud over bear top of cloud touches top of sky , everyone is medium	1	
his stomach is at the horizon line . he is wearing a rainbow hat and a baseball glove on the hand that is up	is there a cloud in the scene ?	to the right of the boy is a medium dog facing right . the dog is 1 2 inches from the boy	0	
then rain upper right , i said it before , so rain cloud , check it if you want	you did n't	yes i did	0	
the boy is wearing a blue shirt , light blue pants , and blue shoes . the girl is wearing a pink dress with black shoes	got it is that all ?	yep	0	
yes	nothing else in picture	there is basketball	0	
to the right of the grill is a little boy , facing left . he has one hand in the air holding a hot dog .	is he standing or sitting	he is standing , right hand in the air , left hand on hip .	1	
thanks for your help sorry for being a pain , the picture i see is much closer up like zoomed	no problem i have fixed that you can submit now	thanks	0	
on the right there is a boy with dark hair wearing blue shirt and light blue shorts .	okay . what about a girl ?	he is wearing blue shoes ; nothing follows	1	
large slide just to right of sandbox , sitting girl at end waving smile	which way is slide facing ?	ladder part near sandbox	1	
yes , owl at the edge with soda in front of it then pizza	ok anything in sky	nothing in the sky	0	
what story the image tells .	could you describe your image in detail ? i can not see it .	jenny is wearing glasses and holding a baseball glove .	0	
good	can i submit ? did you check ?		0	
---	okay . thank you .	---	0	
yes mean both	ok . check	ok	0	
lastly in front of the boy is a duck walking to the right	alright ! thanks !		0	
large sun in top right corner	any of it cut off or can you see whole thing , then next ?	partial cut off	1	
there is white cloud with grey on top right . about 3 inches from right edge , 1 inch from top . it 's large	plain cloud ?	plain cloud that has grey at bottom of it . 2 humps on top , 4 on bott	1	
scary bear facing center with part of paw off right side , and his waist at horizon	he 's in . what else is there ?	small picnic table with left side higher is almost touching left side , is closer to bottom than horizon .	0	
take balloons up higher flip table and that 's it	flip table how ?	at the top with the arrow click on table and it will let you flip it to a different angle	0	
place a girl right under the sun with her mouth open and hands in front with her mouth open facing left	is she large or small	medium . next to her place a picnic table with mustard on the middle left of the table	1	
hi , swing set on smallest setting facing right , red v part on left of swing the top of v is hitting grass line	ok and it 's on the left	the swing set is to the left . the upper bottom left blue pole is almost touching side of screen .	0	
standing up smiling on the left side of the swing	where is the swing set ? what position is the boy ?	sad and to the right of the swing	1	
almost perfect except they are medium or at least one size smaller	ok got it does pail cover her legs	no the sandbox is below her feet by 1 2 , her eyebrows are level with horizon	1	
next to duck a finger away boy sitting with mouth open surprised looking right and next to him girl looking left sitting angry face	anything in their hands ?	no swap the people they 're in the wrong direction and we 're done	1	
small bushy tree on left edge , trunk starts three fourths the way up . widest part of tree is touching left edge , nothing is cut off .	ok done . which way is the hole ?	left . right of center in the sky is large helicopter , facing left . right of tree is a girl , sad face , hands up , looking right .	1	
i 'd say medium , and the hot air balloon too large and the cat is racing right , other than that it 's good !	i made the hot air balloon small and fixing cat now . thank you	okay noted ! you all ready to submit ?	0	
more like in line with the front window of the plane . it 's on the same line as her head a thumb width between her head and the owl .	ok all set to submit ?	yes thank you .	0	
---	hello , ready when you are .	---	0	
sorry , was reading directions . on the right with his feet halfway down the green , is a bear . he has his arms raise , and is facing left .	got it ! what 's next ?	at the bear 's feet to your left is a small beach ball . a little smiling boy sits at the same level as bear 's feet	0	
3 . 5 4	ok , are both kids there ? what are their faces like ?	girl is smiling . boy 's mouth is open surprised maybe ?	1	
